epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3790.06,0.95419,0.92465,1.22771,0.8275,0.7061,0.81349,0.60722,0.94268,0.76706,1.03408,0.0005941,0.0005941,0.0005941
43,3876.7,0.95484,0.9277,1.22774,0.83475,0.71608,0.81739,0.60993,0.93733,0.7608,1.03214,0.0005842,0.0005842,0.0005842
44,3964.25,0.95538,0.9268,1.22825,0.83264,0.71793,0.81677,0.60868,0.94705,0.7734,1.03702,0.0005743,0.0005743,0.0005743
45,4050.15,0.94975,0.91277,1.22512,0.83827,0.72622,0.82214,0.61354,0.93706,0.76103,1.02562,0.0005644,0.0005644,0.0005644
46,4134.43,0.95099,0.91125,1.22331,0.85272,0.71165,0.82028,0.61708,0.94223,0.7554,1.02945,0.0005545,0.0005545,0.0005545
47,4219.4,0.94742,0.90843,1.22494,0.82948,0.72421,0.81664,0.61571,0.9315,0.74816,1.02041,0.0005446,0.0005446,0.0005446
48,4305.92,0.93699,0.90471,1.2188,0.83212,0.73298,0.82355,0.62237,0.91104,0.7517,1.01364,0.0005347,0.0005347,0.0005347
49,4389.87,0.94929,0.91299,1.22656,0.84609,0.71349,0.82062,0.62335,0.92025,0.75581,1.0137,0.0005248,0.0005248,0.0005248
50,4478.13,0.93743,0.89464,1.21705,0.82547,0.72384,0.81791,0.61759,0.93619,0.76455,1.02274,0.0005149,0.0005149,0.0005149
51,4566.37,0.9362,0.89946,1.21605,0.83693,0.7305,0.825,0.62129,0.93959,0.75874,1.02246,0.000505,0.000505,0.000505
52,4656.35,0.93606,0.89992,1.21506,0.85063,0.71581,0.82303,0.62548,0.9175,0.7387,1.00927,0.0004951,0.0004951,0.0004951
53,4743.33,0.93437,0.89127,1.21794,0.83256,0.7305,0.8245,0.62208,0.93494,0.7539,1.01525,0.0004852,0.0004852,0.0004852
54,4836.41,0.93022,0.89041,1.21548,0.85737,0.71941,0.82638,0.62636,0.92522,0.73973,1.01352,0.0004753,0.0004753,0.0004753
55,4926.25,0.93379,0.88605,1.21303,0.85692,0.71978,0.82834,0.62477,0.92424,0.73525,1.01525,0.0004654,0.0004654,0.0004654
56,5016.55,0.92875,0.88287,1.21052,0.84626,0.72126,0.82727,0.62611,0.93176,0.74749,1.02146,0.0004555,0.0004555,0.0004555
